source_symbol,source_organism,ensg,ortholog_ensg,target_symbol,target_organism,description
FBXO7,human,ENSG00000100225,ENSMUSG00000001786,Fbxo7,mouse,F-box protein 7 [Source:MGI Symbol;Acc:MGI:1917004]
DAD1,human,ENSG00000129562,ENSMUSG00000022174,Dad1,mouse,defender against cell death 1 [Source:MGI Symbol;Acc:MGI:101912]
PIH1D1,human,ENSG00000104872,ENSMUSG00000003423,Pih1d1,mouse,PIH1 domain containing 1 [Source:MGI Symbol;Acc:MGI:1916095]
PIK3C2A,human,ENSG00000011405,ENSMUSG00000030660,Pik3c2a,mouse,phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 alpha [Source:MGI Symbol;Acc:MGI:1203729]
SNRPE,human,ENSG00000182004,,,mouse,
MPP1,human,ENSG00000130830,ENSMUSG00000031402,Mpp1,mouse,"membrane protein, palmitoylated [Source:MGI Symbol;Acc:MGI:105941]"
GGCX,human,ENSG00000115486,ENSMUSG00000053460,Ggcx,mouse,gamma-glutamyl carboxylase [Source:MGI Symbol;Acc:MGI:1927655]
ALDOC,human,ENSG00000109107,ENSMUSG00000017390,Aldoc,mouse,"aldolase C, fructose-bisphosphate [Source:MGI Symbol;Acc:MGI:101863]"
NCOA4,human,ENSG00000266412,ENSMUSG00000056234,Ncoa4,mouse,nuclear receptor coactivator 4 [Source:MGI Symbol;Acc:MGI:1350932]
OGDH,human,ENSG00000105953,ENSMUSG00000020456,Ogdh,mouse,oxoglutarate (alpha-ketoglutarate) dehydrogenase (lipoamide) [Source:MGI Symbol;Acc:MGI:1098267]
ACP2,human,ENSG00000134575,ENSMUSG00000002103,Acp2,mouse,"acid phosphatase 2, lysosomal [Source:MGI Symbol;Acc:MGI:87882]"
HIP1R,human,ENSG00000130787,ENSMUSG00000000915,Hip1r,mouse,huntingtin interacting protein 1 related [Source:MGI Symbol;Acc:MGI:1352504]
Ube4a,human,ENSG00000110344,ENSMUSG00000059890,Ube4a,mouse,ubiquitination factor E4A [Source:MGI Symbol;Acc:MGI:2154580]
LYAR,human,ENSG00000145220,ENSMUSG00000067367,Lyar,mouse,Ly1 antibody reactive clone [Source:MGI Symbol;Acc:MGI:107470]
Hdac2,human,ENSG00000196591,ENSMUSG00000019777,Hdac2,mouse,histone deacetylase 2 [Source:MGI Symbol;Acc:MGI:1097691]
DCTN5,human,ENSG00000166847,ENSMUSG00000030868,Dctn5,mouse,dynactin 5 [Source:MGI Symbol;Acc:MGI:1891689]
GSTT1,human,,,,mouse,
PPCS,human,ENSG00000127125,ENSMUSG00000028636,Ppcs,mouse,phosphopantothenoylcysteine synthetase [Source:MGI Symbol;Acc:MGI:1915237]
Vcan,human,ENSG00000038427,ENSMUSG00000021614,Vcan,mouse,versican [Source:MGI Symbol;Acc:MGI:102889]
CPSF6,human,ENSG00000111605,ENSMUSG00000055531,Cpsf6,mouse,cleavage and polyadenylation specific factor 6 [Source:MGI Symbol;Acc:MGI:1913948]
CMC1,human,ENSG00000187118,ENSMUSG00000039163,Cmc1,mouse,COX assembly mitochondrial protein 1 [Source:MGI Symbol;Acc:MGI:1915149]
Mark2,human,ENSG00000072518,ENSMUSG00000024969,Mark2,mouse,MAP/microtubule affinity regulating kinase 2 [Source:MGI Symbol;Acc:MGI:99638]
ANKRD50,human,ENSG00000151458,ENSMUSG00000044864,Ankrd50,mouse,ankyrin repeat domain 50 [Source:MGI Symbol;Acc:MGI:2139777]
RPLP1,human,ENSG00000137818,ENSMUSG00000007892,Rplp1,mouse,"ribosomal protein, large, P1 [Source:MGI Symbol;Acc:MGI:1927099]"
RPLP1,human,ENSG00000137818,ENSMUSG00000091014,Gm5244,mouse,predicted pseudogene 5244 [Source:MGI Symbol;Acc:MGI:3646958]
LOC100912534,human,,,,mouse,
HSPA1A,human,ENSG00000204389,ENSMUSG00000090877,Hspa1b,mouse,heat shock protein 1B [Source:MGI Symbol;Acc:MGI:99517]
HSPA1A,human,ENSG00000204389,ENSMUSG00000091971,Hspa1a,mouse,heat shock protein 1A [Source:MGI Symbol;Acc:MGI:96244]
NEXN,human,ENSG00000162614,ENSMUSG00000039103,Nexn,mouse,nexilin [Source:MGI Symbol;Acc:MGI:1916060]
UFL1,human,ENSG00000014123,ENSMUSG00000040359,Ufl1,mouse,UFM1 specific ligase 1 [Source:MGI Symbol;Acc:MGI:1914740]
RTN4IP1,human,ENSG00000130347,ENSMUSG00000019864,Rtn4ip1,mouse,reticulon 4 interacting protein 1 [Source:MGI Symbol;Acc:MGI:2178759]
RCN2,human,ENSG00000117906,ENSMUSG00000032320,Rcn2,mouse,reticulocalbin 2 [Source:MGI Symbol;Acc:MGI:1349765]
RAB5B,human,ENSG00000111540,ENSMUSG00000000711,Rab5b,mouse,"RAB5B, member RAS oncogene family [Source:MGI Symbol;Acc:MGI:105938]"
Tubb2a,human,ENSG00000137267,ENSMUSG00000058672,Tubb2a,mouse,"tubulin, beta 2A class IIA [Source:MGI Symbol;Acc:MGI:107861]"
USP32,human,ENSG00000170832,ENSMUSG00000000804,Usp32,mouse,ubiquitin specific peptidase 32 [Source:MGI Symbol;Acc:MGI:2144475]
PDCD5,human,ENSG00000105185,ENSMUSG00000030417,Pdcd5,mouse,programmed cell death 5 [Source:MGI Symbol;Acc:MGI:1913538]
SPTLC2,human,ENSG00000100596,ENSMUSG00000021036,Sptlc2,mouse,"serine palmitoyltransferase, long chain base subunit 2 [Source:MGI Symbol;Acc:MGI:108074]"
EEF1E1,human,ENSG00000124802,ENSMUSG00000001707,Eef1e1,mouse,eukaryotic translation elongation factor 1 epsilon 1 [Source:MGI Symbol;Acc:MGI:1913393]
XPR1,human,ENSG00000143324,ENSMUSG00000026469,Xpr1,mouse,xenotropic and polytropic retrovirus receptor 1 [Source:MGI Symbol;Acc:MGI:97932]
TRIM27,human,ENSG00000204713,ENSMUSG00000021326,Trim27,mouse,tripartite motif-containing 27 [Source:MGI Symbol;Acc:MGI:97904]
Tmem185a,human,ENSG00000269556,ENSMUSG00000073139,Tmem185a,mouse,transmembrane protein 185A [Source:MGI Symbol;Acc:MGI:2448555]
OXSR1,human,ENSG00000172939,ENSMUSG00000036737,Oxsr1,mouse,oxidative-stress responsive 1 [Source:MGI Symbol;Acc:MGI:1917378]
Eri3,human,ENSG00000117419,ENSMUSG00000033423,Eri3,mouse,exoribonuclease 3 [Source:MGI Symbol;Acc:MGI:2153887]
GRSF1,human,ENSG00000132463,ENSMUSG00000044221,Grsf1,mouse,G-rich RNA sequence binding factor 1 [Source:MGI Symbol;Acc:MGI:106479]
P4HB,human,ENSG00000185624,ENSMUSG00000025130,P4hb,mouse,"prolyl 4-hydroxylase, beta polypeptide [Source:MGI Symbol;Acc:MGI:97464]"
Pmm1,human,ENSG00000100417,ENSMUSG00000022474,Pmm1,mouse,phosphomannomutase 1 [Source:MGI Symbol;Acc:MGI:1353418]
PITHD1,human,ENSG00000057757,ENSMUSG00000028669,Pithd1,mouse,PITH (C-terminal proteasome-interacting domain of thioredoxin-like) domain containing 1 [Source:MGI Symbol;Acc:MGI:1913443]
COL12A1,human,ENSG00000111799,ENSMUSG00000032332,Col12a1,mouse,"collagen, type XII, alpha 1 [Source:MGI Symbol;Acc:MGI:88448]"
Sec22b,human,ENSG00000265808,ENSMUSG00000027879,Sec22b,mouse,"SEC22 homolog B, vesicle trafficking protein [Source:MGI Symbol;Acc:MGI:1338759]"
Seh1l,human,ENSG00000085415,ENSMUSG00000079614,Seh1l,mouse,SEH1-like (S. cerevisiae [Source:MGI Symbol;Acc:MGI:1919374]
GPR89A,human,ENSG00000117262,ENSMUSG00000028096,Gpr89,mouse,G protein-coupled receptor 89 [Source:MGI Symbol;Acc:MGI:1914799]
Rrm2b,human,ENSG00000048392,ENSMUSG00000022292,Rrm2b,mouse,ribonucleotide reductase M2 B (TP53 inducible) [Source:MGI Symbol;Acc:MGI:2155865]
Ube2g1,human,ENSG00000132388,ENSMUSG00000020794,Ube2g1,mouse,ubiquitin-conjugating enzyme E2G 1 [Source:MGI Symbol;Acc:MGI:1914378]
NCSTN,human,ENSG00000162736,ENSMUSG00000003458,Ncstn,mouse,nicastrin [Source:MGI Symbol;Acc:MGI:1891700]
CEP290,human,ENSG00000198707,ENSMUSG00000019971,Cep290,mouse,centrosomal protein 290 [Source:MGI Symbol;Acc:MGI:2384917]
NDUFA13,human,ENSG00000186010,ENSMUSG00000036199,Ndufa13,mouse,NADH:ubiquinone oxidoreductase subunit A13 [Source:MGI Symbol;Acc:MGI:1914434]
IKBKG,human,ENSG00000269335,ENSMUSG00000004221,Ikbkg,mouse,inhibitor of kappaB kinase gamma [Source:MGI Symbol;Acc:MGI:1338074]
ACP1,human,ENSG00000143727,ENSMUSG00000044573,Acp1,mouse,"acid phosphatase 1, soluble [Source:MGI Symbol;Acc:MGI:87881]"
CLTC,human,ENSG00000141367,ENSMUSG00000047126,Cltc,mouse,"clathrin, heavy polypeptide (Hc) [Source:MGI Symbol;Acc:MGI:2388633]"
SSH3,human,ENSG00000172830,ENSMUSG00000034616,Ssh3,mouse,slingshot protein phosphatase 3 [Source:MGI Symbol;Acc:MGI:2683546]
HSD17B7,human,ENSG00000132196,ENSMUSG00000026675,Hsd17b7,mouse,hydroxysteroid (17-beta) dehydrogenase 7 [Source:MGI Symbol;Acc:MGI:1330808]
ALDH9A1,human,ENSG00000143149,ENSMUSG00000026687,Aldh9a1,mouse,"aldehyde dehydrogenase 9, subfamily A1 [Source:MGI Symbol;Acc:MGI:1861622]"
SNRPGP15,human,ENSG00000224543,,,mouse,
MRPS5,human,ENSG00000144029,,,mouse,
MRPS5,human,ENSG00000289685,ENSMUSG00000027374,Mrps5,mouse,mitochondrial ribosomal protein S5 [Source:MGI Symbol;Acc:MGI:1924971]
LIN7C,human,ENSG00000148943,ENSMUSG00000027162,Lin7c,mouse,"lin-7 homolog C, crumbs cell polarity complex component [Source:MGI Symbol;Acc:MGI:1330839]"
PREB,human,ENSG00000138073,ENSMUSG00000045302,Preb,mouse,prolactin regulatory element binding [Source:MGI Symbol;Acc:MGI:1355326]
SPAG9,human,ENSG00000008294,ENSMUSG00000020859,Spag9,mouse,sperm associated antigen 9 [Source:MGI Symbol;Acc:MGI:1918084]
CEBPZ,human,ENSG00000115816,ENSMUSG00000024081,Cebpz,mouse,CCAAT/enhancer binding protein zeta [Source:MGI Symbol;Acc:MGI:109386]
VCPIP1,human,ENSG00000175073,ENSMUSG00000045210,Vcpip1,mouse,valosin containing protein (p97)/p47 complex interacting protein 1 [Source:MGI Symbol;Acc:MGI:1917925]
OSBPL11,human,ENSG00000144909,ENSMUSG00000022807,Osbpl11,mouse,oxysterol binding protein-like 11 [Source:MGI Symbol;Acc:MGI:2146553]
DSC2,human,ENSG00000134755,ENSMUSG00000024331,Dsc2,mouse,desmocollin 2 [Source:MGI Symbol;Acc:MGI:103221]
PIN1,human,ENSG00000127445,ENSMUSG00000032171,Pin1,mouse,"peptidyl-prolyl cis/trans isomerase, NIMA-interacting 1 [Source:MGI Symbol;Acc:MGI:1346036]"
PIN1,human,ENSG00000127445,ENSMUSG00000074997,Pin1rt1,mouse,"peptidyl-prolyl cis/trans isomerase, NIMA-interacting 1, retrogene 1 [Source:MGI Symbol;Acc:MGI:3649546]"
LAMTOR2,human,ENSG00000116586,ENSMUSG00000028062,Lamtor2,mouse,"late endosomal/lysosomal adaptor, MAPK and MTOR activator 2 [Source:MGI Symbol;Acc:MGI:1932697]"
ABCB6,human,ENSG00000115657,ENSMUSG00000026198,Abcb6,mouse,"ATP-binding cassette, sub-family B (MDR/TAP), member 6 [Source:MGI Symbol;Acc:MGI:1921354]"
NELFA,human,ENSG00000185049,ENSMUSG00000029111,Nelfa,mouse,"negative elongation factor complex member A, Whsc2 [Source:MGI Symbol;Acc:MGI:1346098]"
CAP1,human,ENSG00000131236,ENSMUSG00000028656,Cap1,mouse,"CAP, adenylate cyclase-associated protein 1 (yeast) [Source:MGI Symbol;Acc:MGI:88262]"
MPP6,human,ENSG00000105926,ENSMUSG00000038388,Pals2,mouse,"protein associated with LIN7 2, MAGUK family member [Source:MGI Symbol;Acc:MGI:1927340]"
GOLGA1,human,ENSG00000136935,ENSMUSG00000026754,Golga1,mouse,"golgi autoantigen, golgin subfamily a, 1 [Source:MGI Symbol;Acc:MGI:1924149]"
BNIP1,human,ENSG00000113734,ENSMUSG00000024191,Bnip1,mouse,BCL2/adenovirus E1B interacting protein 1 [Source:MGI Symbol;Acc:MGI:109328]
CNTNAP1,human,ENSG00000108797,ENSMUSG00000017167,Cntnap1,mouse,contactin associated protein-like 1 [Source:MGI Symbol;Acc:MGI:1858201]
Xpo4,human,ENSG00000132953,ENSMUSG00000021952,Xpo4,mouse,exportin 4 [Source:MGI Symbol;Acc:MGI:1888526]
RUVBL1,human,ENSG00000175792,ENSMUSG00000030079,Ruvbl1,mouse,RuvB-like protein 1 [Source:MGI Symbol;Acc:MGI:1928760]
YWHAQ,human,ENSG00000134308,ENSMUSG00000076432,Ywhaq,mouse,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein theta [Source:MGI Symbol;Acc:MGI:891963]
UACA,human,ENSG00000137831,ENSMUSG00000034485,Uaca,mouse,uveal autoantigen with coiled-coil domains and ankyrin repeats [Source:MGI Symbol;Acc:MGI:1919815]
XRN2,human,ENSG00000088930,ENSMUSG00000027433,Xrn2,mouse,5'-3' exoribonuclease 2 [Source:MGI Symbol;Acc:MGI:894687]
RHBDD2,human,ENSG00000005486,ENSMUSG00000039917,Rhbdd2,mouse,rhomboid domain containing 2 [Source:MGI Symbol;Acc:MGI:1915612]
INPP5K,human,ENSG00000132376,ENSMUSG00000006127,Inpp5k,mouse,inositol polyphosphate 5-phosphatase K [Source:MGI Symbol;Acc:MGI:1194899]
XPOT,human,ENSG00000184575,ENSMUSG00000034667,Xpot,mouse,"exportin, tRNA (nuclear export receptor for tRNAs) [Source:MGI Symbol;Acc:MGI:1920442]"
PRKAR1A,human,ENSG00000108946,ENSMUSG00000020612,Prkar1a,mouse,"protein kinase, cAMP dependent regulatory, type I, alpha [Source:MGI Symbol;Acc:MGI:104878]"
CHMP1A,human,ENSG00000131165,ENSMUSG00000000743,Chmp1a,mouse,charged multivesicular body protein 1A [Source:MGI Symbol;Acc:MGI:1920159]
COMMD3-BMI1,human,ENSG00000269897,ENSMUSG00000026739,Bmi1,mouse,Bmi1 polycomb ring finger oncogene [Source:MGI Symbol;Acc:MGI:88174]
PPP1R7,human,ENSG00000115685,,,mouse,
HACD2,human,ENSG00000206527,ENSMUSG00000035376,Hacd2,mouse,3-hydroxyacyl-CoA dehydratase 2 [Source:MGI Symbol;Acc:MGI:1918007]
MFSD10,human,ENSG00000109736,ENSMUSG00000001082,Mfsd10,mouse,major facilitator superfamily domain containing 10 [Source:MGI Symbol;Acc:MGI:1915544]
SPCS2,human,ENSG00000118363,ENSMUSG00000035227,Spcs2,mouse,signal peptidase complex subunit 2 homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1913874]
ACTR1B,human,ENSG00000115073,ENSMUSG00000037351,Actr1b,mouse,"ARP1 actin-related protein 1B, centractin beta [Source:MGI Symbol;Acc:MGI:1917446]"
Memo1,human,ENSG00000162959,ENSMUSG00000058704,Memo1,mouse,mediator of cell motility 1 [Source:MGI Symbol;Acc:MGI:1924140]
RPL7A,human,ENSG00000148303,ENSMUSG00000062647,Rpl7a,mouse,ribosomal protein L7A [Source:MGI Symbol;Acc:MGI:1353472]
FMNL3,human,ENSG00000161791,ENSMUSG00000023008,Fmnl3,mouse,formin-like 3 [Source:MGI Symbol;Acc:MGI:109569]
CPSF7,human,ENSG00000149532,ENSMUSG00000034820,Cpsf7,mouse,cleavage and polyadenylation specific factor 7 [Source:MGI Symbol;Acc:MGI:1917826]
LLGL1,human,ENSG00000131899,ENSMUSG00000020536,Llgl1,mouse,LLGL1 scribble cell polarity complex component [Source:MGI Symbol;Acc:MGI:102682]
CCZ1,human,ENSG00000122674,ENSMUSG00000029617,Ccz1,mouse,CCZ1 vacuolar protein trafficking and biogenesis associated [Source:MGI Symbol;Acc:MGI:2141070]
ITGA7,human,ENSG00000135424,ENSMUSG00000025348,Itga7,mouse,integrin alpha 7 [Source:MGI Symbol;Acc:MGI:102700]
SMYD5,human,ENSG00000135632,ENSMUSG00000033706,Smyd5,mouse,SET and MYND domain containing 5 [Source:MGI Symbol;Acc:MGI:108048]
STK4,human,ENSG00000101109,ENSMUSG00000018209,Stk4,mouse,serine/threonine kinase 4 [Source:MGI Symbol;Acc:MGI:1929004]
PTAR1,human,ENSG00000188647,ENSMUSG00000074925,Ptar1,mouse,protein prenyltransferase alpha subunit repeat containing 1 [Source:MGI Symbol;Acc:MGI:1921875]
HSDL1,human,ENSG00000103160,ENSMUSG00000034189,Hsdl1,mouse,hydroxysteroid dehydrogenase like 1 [Source:MGI Symbol;Acc:MGI:1919802]
CD81,human,ENSG00000110651,ENSMUSG00000037706,Cd81,mouse,CD81 antigen [Source:MGI Symbol;Acc:MGI:1096398]
Rbm5,human,ENSG00000003756,ENSMUSG00000032580,Rbm5,mouse,RNA binding motif protein 5 [Source:MGI Symbol;Acc:MGI:1933204]
Rab27a,human,ENSG00000069974,ENSMUSG00000032202,Rab27a,mouse,"RAB27A, member RAS oncogene family [Source:MGI Symbol;Acc:MGI:1861441]"
CCDC80,human,ENSG00000091986,ENSMUSG00000022665,Ccdc80,mouse,coiled-coil domain containing 80 [Source:MGI Symbol;Acc:MGI:1915146]
Naa15,human,ENSG00000164134,ENSMUSG00000063273,Naa15,mouse,"N(alpha)-acetyltransferase 15, NatA auxiliary subunit [Source:MGI Symbol;Acc:MGI:1922088]"
Smarcd2,human,ENSG00000108604,ENSMUSG00000078619,Smarcd2,mouse,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 2 [Source:MGI Symbol;Acc:MGI:1933621]"
DAP3,human,ENSG00000132676,ENSMUSG00000068921,Dap3,mouse,death associated protein 3 [Source:MGI Symbol;Acc:MGI:1929538]
Pgm2l1,human,ENSG00000165434,ENSMUSG00000030729,Pgm2l1,mouse,phosphoglucomutase 2-like 1 [Source:MGI Symbol;Acc:MGI:1918224]
UBQLN1,human,ENSG00000135018,ENSMUSG00000005312,Ubqln1,mouse,ubiquilin 1 [Source:MGI Symbol;Acc:MGI:1860276]
Rbm8a,human,ENSG00000265241,ENSMUSG00000038374,Rbm8a,mouse,RNA binding motif protein 8a [Source:MGI Symbol;Acc:MGI:1913129]
Rbm8a,human,ENSG00000265241,ENSMUSG00000078184,Rbm8a2,mouse,RNA binding motif protein 8A2 [Source:MGI Symbol;Acc:MGI:3612447]
SETDB1,human,ENSG00000143379,ENSMUSG00000015697,Setdb1,mouse,"SET domain, bifurcated 1 [Source:MGI Symbol;Acc:MGI:1934229]"
HSD17B12,human,ENSG00000149084,ENSMUSG00000027195,Hsd17b12,mouse,hydroxysteroid (17-beta) dehydrogenase 12 [Source:MGI Symbol;Acc:MGI:1926967]
STX10,human,ENSG00000104915,,,mouse,
Ilf2,human,ENSG00000143621,ENSMUSG00000001016,Ilf2,mouse,interleukin enhancer binding factor 2 [Source:MGI Symbol;Acc:MGI:1915031]
NARS,human,,,,mouse,
LOC690384,human,,,,mouse,
Sdhd,human,ENSG00000204370,ENSMUSG00000000171,Sdhd,mouse,"succinate dehydrogenase complex, subunit D, integral membrane protein [Source:MGI Symbol;Acc:MGI:1914175]"
CRYZ,human,ENSG00000116791,ENSMUSG00000028199,Cryz,mouse,"crystallin, zeta [Source:MGI Symbol;Acc:MGI:88527]"
Mrgbp,human,ENSG00000101189,ENSMUSG00000027569,Mrgbp,mouse,MRG/MORF4L binding protein [Source:MGI Symbol;Acc:MGI:1920497]
PDLIM1,human,ENSG00000107438,ENSMUSG00000055044,Pdlim1,mouse,PDZ and LIM domain 1 (elfin) [Source:MGI Symbol;Acc:MGI:1860611]
Pik3c3,human,ENSG00000078142,ENSMUSG00000033628,Pik3c3,mouse,phosphatidylinositol 3-kinase catalytic subunit type 3 [Source:MGI Symbol;Acc:MGI:2445019]
MTR,human,ENSG00000116984,ENSMUSG00000021311,Mtr,mouse,5-methyltetrahydrofolate-homocysteine methyltransferase [Source:MGI Symbol;Acc:MGI:894292]
DNM1,human,ENSG00000106976,ENSMUSG00000026825,Dnm1,mouse,dynamin 1 [Source:MGI Symbol;Acc:MGI:107384]
TLR3,human,ENSG00000164342,ENSMUSG00000031639,Tlr3,mouse,toll-like receptor 3 [Source:MGI Symbol;Acc:MGI:2156367]
Snrpd1,human,ENSG00000167088,ENSMUSG00000002477,Snrpd1,mouse,small nuclear ribonucleoprotein D1 [Source:MGI Symbol;Acc:MGI:98344]
MVD,human,ENSG00000167508,ENSMUSG00000006517,Mvd,mouse,mevalonate (diphospho) decarboxylase [Source:MGI Symbol;Acc:MGI:2179327]
PLCB4,human,ENSG00000101333,ENSMUSG00000039943,Plcb4,mouse,"phospholipase C, beta 4 [Source:MGI Symbol;Acc:MGI:107464]"
RALGAPB,human,ENSG00000170471,ENSMUSG00000027652,Ralgapb,mouse,"Ral GTPase activating protein, beta subunit (non-catalytic) [Source:MGI Symbol;Acc:MGI:2444531]"
BAX,human,ENSG00000087088,ENSMUSG00000003873,Bax,mouse,BCL2-associated X protein [Source:MGI Symbol;Acc:MGI:99702]
Dtd1,human,ENSG00000125821,ENSMUSG00000027430,Dtd1,mouse,D-tyrosyl-tRNA deacylase 1 [Source:MGI Symbol;Acc:MGI:1913294]
CSNK2A1,human,ENSG00000101266,ENSMUSG00000074698,Csnk2a1,mouse,"casein kinase 2, alpha 1 polypeptide [Source:MGI Symbol;Acc:MGI:88543]"
CAT,human,ENSG00000121691,ENSMUSG00000027187,Cat,mouse,catalase [Source:MGI Symbol;Acc:MGI:88271]
SLC9A3R2,human,ENSG00000065054,ENSMUSG00000002504,Slc9a3r2,mouse,"solute carrier family 9 (sodium/hydrogen exchanger), member 3 regulator 2 [Source:MGI Symbol;Acc:MGI:1890662]"
EIF2AK2,human,ENSG00000055332,ENSMUSG00000024079,Eif2ak2,mouse,eukaryotic translation initiation factor 2-alpha kinase 2 [Source:MGI Symbol;Acc:MGI:1353449]
GPKOW,human,ENSG00000068394,ENSMUSG00000031148,Gpkow,mouse,G patch domain and KOW motifs [Source:MGI Symbol;Acc:MGI:1859610]
Cdk2,human,ENSG00000123374,ENSMUSG00000025358,Cdk2,mouse,cyclin-dependent kinase 2 [Source:MGI Symbol;Acc:MGI:104772]
Mtfr1l,human,ENSG00000117640,ENSMUSG00000046671,Mtfr1l,mouse,mitochondrial fission regulator 1-like [Source:MGI Symbol;Acc:MGI:1924074]
MARS,human,,,,mouse,
Pdzd11,human,ENSG00000120509,ENSMUSG00000015668,Pdzd11,mouse,PDZ domain containing 11 [Source:MGI Symbol;Acc:MGI:1919871]
SLC25A12,human,ENSG00000115840,ENSMUSG00000027010,Slc25a12,mouse,"solute carrier family 25 (mitochondrial carrier, Aralar), member 12 [Source:MGI Symbol;Acc:MGI:1926080]"
HABP4,human,ENSG00000130956,ENSMUSG00000021476,Habp4,mouse,hyaluronic acid binding protein 4 [Source:MGI Symbol;Acc:MGI:1891713]
SNRPA,human,ENSG00000077312,ENSMUSG00000061479,Snrpa,mouse,small nuclear ribonucleoprotein polypeptide A [Source:MGI Symbol;Acc:MGI:1855690]
TAF1C,human,ENSG00000103168,ENSMUSG00000031832,Taf1c,mouse,"TATA-box binding protein associated factor, RNA polymerase I, C [Source:MGI Symbol;Acc:MGI:109576]"
SPATS2,human,ENSG00000123352,ENSMUSG00000051934,Spats2,mouse,"spermatogenesis associated, serine-rich 2 [Source:MGI Symbol;Acc:MGI:1919822]"
PFDN2,human,ENSG00000143256,ENSMUSG00000006412,Pfdn2,mouse,prefoldin 2 [Source:MGI Symbol;Acc:MGI:1276111]
UBE2Q1,human,ENSG00000160714,ENSMUSG00000042572,Ube2q1,mouse,ubiquitin-conjugating enzyme E2Q family member 1 [Source:MGI Symbol;Acc:MGI:1917343]
Lin7c,human,ENSG00000148943,ENSMUSG00000027162,Lin7c,mouse,"lin-7 homolog C, crumbs cell polarity complex component [Source:MGI Symbol;Acc:MGI:1330839]"
OSTF1,human,ENSG00000134996,ENSMUSG00000024725,Ostf1,mouse,osteoclast stimulating factor 1 [Source:MGI Symbol;Acc:MGI:700012]
BAIAP2,human,ENSG00000175866,ENSMUSG00000025372,Baiap2,mouse,brain-specific angiogenesis inhibitor 1-associated protein 2 [Source:MGI Symbol;Acc:MGI:2137336]
LRBA,human,ENSG00000198589,ENSMUSG00000028080,Lrba,mouse,LPS-responsive beige-like anchor [Source:MGI Symbol;Acc:MGI:1933162]
MTHFR,human,ENSG00000177000,ENSMUSG00000029009,Mthfr,mouse,methylenetetrahydrofolate reductase [Source:MGI Symbol;Acc:MGI:106639]
PA2G4,human,ENSG00000170515,ENSMUSG00000025364,Pa2g4,mouse,proliferation-associated 2G4 [Source:MGI Symbol;Acc:MGI:894684]
Bud31,human,ENSG00000106245,ENSMUSG00000038722,Bud31,mouse,BUD31 homolog [Source:MGI Symbol;Acc:MGI:2141291]
TMEM55A,human,,,,mouse,
DIMT1,human,ENSG00000086189,ENSMUSG00000021692,Dimt1,mouse,DIM1 dimethyladenosine transferase 1-like (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1913504]
DDX42,human,ENSG00000198231,ENSMUSG00000020705,Ddx42,mouse,DEAD box helicase 42 [Source:MGI Symbol;Acc:MGI:1919297]
MTMR9,human,ENSG00000104643,ENSMUSG00000035078,Mtmr9,mouse,myotubularin related protein 9 [Source:MGI Symbol;Acc:MGI:2442842]
DDX54,human,ENSG00000123064,ENSMUSG00000029599,Ddx54,mouse,DEAD box helicase 54 [Source:MGI Symbol;Acc:MGI:1919240]
Snapin,human,ENSG00000143553,ENSMUSG00000001018,Snapin,mouse,SNAP-associated protein [Source:MGI Symbol;Acc:MGI:1333745]
Nedd4l,human,ENSG00000049759,ENSMUSG00000024589,Nedd4l,mouse,"neural precursor cell expressed, developmentally down-regulated gene 4-like [Source:MGI Symbol;Acc:MGI:1933754]"
PIP4K2A,human,ENSG00000150867,ENSMUSG00000026737,Pip4k2a,mouse,"phosphatidylinositol-5-phosphate 4-kinase, type II, alpha [Source:MGI Symbol;Acc:MGI:1298206]"
GET4,human,ENSG00000239857,ENSMUSG00000025858,Get4,mouse,golgi to ER traffic protein 4 [Source:MGI Symbol;Acc:MGI:1914854]
RRAGA,human,ENSG00000155876,ENSMUSG00000070934,Rraga,mouse,Ras-related GTP binding A [Source:MGI Symbol;Acc:MGI:1915691]
C11orf73,human,,,,mouse,
ALDOA,human,ENSG00000149925,ENSMUSG00000030695,Aldoa,mouse,"aldolase A, fructose-bisphosphate [Source:MGI Symbol;Acc:MGI:87994]"
ALDOA,human,ENSG00000149925,ENSMUSG00000059343,Aldoart1,mouse,"aldolase 1 A, retrogene 1 [Source:MGI Symbol;Acc:MGI:2447811]"
ALDOA,human,ENSG00000149925,ENSMUSG00000063129,Aldoart2,mouse,"aldolase 1 A, retrogene 2 [Source:MGI Symbol;Acc:MGI:1931052]"
